Airport Code,Airport Description
HYA,"- Hyannis, MA: Barnstable Municipal-Boardman/Polando Field"
HYG,"- Hydaburg, AK: Hydaburg Seaplane Base"
WHD,"- Hyder, AK: Hyder Seaplane Base"
ICY,"- Icy Bay, AK: Icy Bay Airport"
IDA,"- Idaho Falls, ID: Idaho Falls Regional"
IGG,"- Igiugig, AK: Igiugig Airport"
ILI,"- Iliamna, AK: Iliamna Airport"
ZXF,"- Illinois Creek, AK: Illinois Creek Airport"
IND,"- Indianapolis, IN: Indianapolis International"
MQJ,"- Indianapolis, IN: Indianapolis Regional"
INL,"- International Falls, MN: Falls International Einarson Field"
A57,"- International Seafoods, AK: International Seafoods Airport"
IYK,"- Inyokern, CA: Inyokern Airport"
IMT,"- Iron Mountain/Kingsfd, MI: Ford"
IWD,"- Ironwood, MI: Gogebic-Iron County"
ISP,"- Islip, NY: Long Island MacArthur"
SAW,"- Istanbul, Turkey: Sabiha Gokcen"
ITH,"- Ithaca/Cortland, NY: Ithaca Tompkins Regional"
KIB,"- Ivanof Bay, AK: Ivanof Bay Seaplane Base"
A59,"- Ivatuk, AK: Ivatuk Airport"
A26,"- Ivotuk, AK: Ivotuk Airstrip"
MKL,"- Jackson, TN: McKellar-Sipes Regional"
JAC,"- Jackson, WY: Jackson Hole"
JAN,"- Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International"
VQQ,"- Jacksonville, FL: Cecil"
JAX,"- Jacksonville, FL: Jacksonville International"
NIP,"- Jacksonville, FL: Jacksonville NAS"
OAJ,"- Jacksonville/Camp Lejeune, NC: Albert J Ellis"
JMS,"- Jamestown, ND: Jamestown Regional"
JHW,"- Jamestown, NY: Chautauqua County/Jamestown"
VZM,"- Jensens Strip, AK: Jensens Strip Airport"
JON,"- Johnston Island, TT: Johnston Atoll"
JST,"- Johnstown, PA: John Murtha Johnstown-Cambria County"
JBR,"- Jonesboro, AR: Jonesboro Municipal"
JLN,"- Joplin, MO: Joplin Regional"
JNU,"- Juneau, AK: Juneau International"
OGG,"- Kahului, HI: Kahului Airport"
KAE,"- Kake, AK: Kake Seaplane Base"
A37,"- Kako, AK: Kako Airport"
A35,"- Kaktovik, AK: Bullen Point AFS"
KKK,"- Kalakaket, AK: Kalakaket Creek AS"
AZO,"- Kalamazoo, MI: Kalamazoo/Battle Creek International"
LUP,"- Kalaupapa, HI: Kalaupapa Airport"
FCA,"- Kalispell, MT: Glacier Park International"
KLG,"- Kalskag, AK: Kalskag Airport"
KAL,"- Kaltag, AK: Kaltag Airport"
MUE,"- Kamuela, HI: Waimea-Kohala"
KNB,"- Kanab, UT: Kanab Municipal"
MKC,"- Kansas City, MO: Charles B. Wheeler Downtown"
MCI,"- Kansas City, MO: Kansas City International"
JHM,"- Kapalua, HI: Kapalua Airport"
JRF,"- Kapolei, HI: Kalaeloa"
KKL,"- Karluk Lake, AK: Karluk Lake Seaplane Base"
A65,"- Karluk Portage, AK: Karluk Portage Airport"
KYK,"- Karluk, AK: Karluk Airport"
KXA,"- Kasaan, AK: Kasaan Seaplane Base"
KUK,"- Kasigluk, AK: Kasigluk Airport"
VZR,"- Katmai Bay, AK: Katmai Bay Airport"
VZY,"- Katmai Lodge, AK: Katmai Lodge Airport"
FQD,"- Katmai National Park, AK: Trident Volcano"
VIK,"- Kavik River, AK: Kavik River Airport"
MVM,"- Kayenta, AZ: Kayenta Airport"
EAR,"- Kearney, NE: Kearney Regional"
EEN,"- Keene, NH: Dillant Hopkins"
ENA,"- Kenai, AK: Kenai Municipal"
KEH,"- Kenmore, WA: Kenmore Air Harbor"
KTN,"- Ketchikan, AK: Ketchikan International"
WFB,"- Ketchikan, AK: Ketchikan Waterfront Seaplane Base"
DQU,"- Ketchikan, AK: Neets Bay"
EYW,"- Key West, FL: Key West International"
NQX,"- Key West, FL: Key West NAS"
QQB,"- Keyes Point, AK: Keyes Point Airport"
IAN,"- Kiana, AK: Bob Baker Memorial"
GRK,"- Killeen, TX: Robert Gray AAF"
ILE,"- Killeen, TX: Skylark Field"
A29,"- Kiluda Bay, AK: Kiluda Bay Airport"
KVC,"- King Cove, AK: King Cove Airport"
AKN,"- King Salmon, AK: King Salmon Airport"
IGM,"- Kingman, AZ: Kingman Airport"
ISO,"- Kinston, NC: Kinston Regional Jetport at Stallings Field"
KPN,"- Kipnuk, AK: Kipnuk Airport"
IRK,"- Kirksville, MO: Kirksville Regional"
KKB,"- Kitoi Bay, AK: Kitoi Bay Airport"
KVL,"- Kivalina, AK: Kivalina Airport"
KZH,"- Kizhuyak, AK: Kizhuyak Airport"
06A,"- Kizhuyak, AK: Kizhuyak Bay"
LMT,"- Klamath Falls, OR: Crater Lake Klamath Regional"
KLW,"- Klawock, AK: Klawock Airport"
SZL,"- Knob Noster, MO: Whiteman AFB"
TYS,"- Knoxville, TN: McGhee Tyson"
OBU,"- Kobuk, AK: Kobuk Airport"
A43,"- Kodiak Island, AK: Trident Basin Seaplane Base"
ADQ,"- Kodiak, AK: Kodiak Airport"
KDK,"- Kodiak, AK: Kodiak Municipal"
A41,"- Kogru River, AK: Kogru River Airport"
KNK,"- Kokhanok, AK: Kokhanok Airport"
KGK,"- Koliganek, AK: Koliganek Airport"
KOA,"- Kona, HI: Ellison Onizuka Kona International at Keahole"
KKH,"- Kongiganak, AK: Kongiganak Airport"
KOT,"- Kotlik, AK: Kotlik Airport"
OTZ,"- Kotzebue, AK: Ralph Wien Memorial"
KKA,"- Koyuk, AK: Koyuk Alfred Adams"
KYU,"- Koyukuk, AK: Koyukuk Airport"
LKK,"- Kulik Lake, AK: Kulik Lake Airport"
UUK,"- Kuparuk, AK: North Kuparuk"
KWT,"- Kwethluk, AK: Kwethluk Airport"
KWK,"- Kwigillingok, AK: Kwigillingok Airport"
LSE,"- La Crosse, WI: La Crosse Regional"
LAF,"- Lafayette, IN: Purdue University"
LFT,"- Lafayette, LA: Lafayette Regional Paul Fournet Field"
CWF,"- Lake Charles, LA: Chennault International"
LCH,"- Lake Charles, LA: Lake Charles Regional"
HII,"- Lake Havasu City, AZ: Lake Havasu City Airport"
LMA,"- Lake Minchumina, AK: Lake Minchumina Airport"
TVL,"- Lake Tahoe, CA: Lake Tahoe Airport"
LAL,"- Lakeland, FL: Lakeland Linder International"
LNY,"- Lanai, HI: Lanai Airport"
ZXK,"- Lancaster Cove, AK: Lancaster Cove Airport"
WJF,"- Lancaster, CA: General William J. Fox Airfield"
LNS,"- Lancaster, PA: Lancaster Airport"
LAN,"- Lansing, MI: Capital Region International"
LAR,"- Laramie, WY: Laramie Regional"
LRD,"- Laredo, TX: Laredo International"
KLN,"- Larsen Bay, AK: Larsen Bay Airport"
HSH,"- Las Vegas, NV: Henderson Executive"
LSV,"- Las Vegas, NV: Nellis AFB"
VGT,"- Las Vegas, NV: North Las Vegas"
LBE,"- Latrobe, PA: Arnold Palmer Regional"
LZU,"- Lawrenceville, GA: Gwinnett County - Briscoe Field"
LAW,"- Lawton/Fort Sill, OK: Lawton-Fort Sill Regional"
ALZ,"- Lazy Bay, AK: Alitak Seaplane Base"
LEB,"- Lebanon-Hanover, NH: Lebanon Municipal"
VA4,"- Leesburg, VA: Leesburg Executive"
KLL,"- Levelock, AK: Levelock Airport"
LWB,"- Lewisburg, WV: Greenbrier Valley"
LWS,"- Lewiston, ID: Lewiston Nez Perce County"
LEW,"- Lewiston/Auburn, ME: Auburn Lewiston Municipal"
LWT,"- Lewistown, MT: Lewistown Municipal"
LEX,"- Lexington, KY: Blue Grass"
LBL,"- Liberal, KS: Liberal Mid-America Regional"
LIH,"- Lihue, HI: Lihue Airport"
UXA,"- Lik Camp, AK: Lik Camp Airport"
LVD,"- Lime Village, AK: Lime Village Airport"
LNK,"- Lincoln, NE: Lincoln Airport"
LIT,"- Little Rock, AR: Bill and Hillary Clinton Nat Adams Field"
05A,"- Little Squaw, AK: Little Squaw Airport"
LGU,"- Logan, UT: Logan Cache"
LNI,"- Lonely, AK: Lonely AS"
LGB,"- Long Beach, CA: Long Beach Airport"
LIJ,"- Long Island, AK: Long Island Airport"
GGG,"- Longview, TX: East Texas Regional"
LPS,"- Lopez Island, WA: Lopez Island Airport"
LPR,"- Lorain/Elyria, OH: Lorain County Regional"
LAM,"- Los Alamos, NM: Los Alamos Airport"
SDF,"- Louisville, KY: Louisville Muhammad Ali International"
LBB,"- Lubbock, TX: Lubbock Preston Smith International"
LYH,"- Lynchburg, VA: Lynchburg Regional/Preston Glenn Field"
MCN,"- Macon, GA: Middle Georgia Regional"
MSN,"- Madison, WI: Dane County Regional-Truax Field"
A75,"- Malina Bay, AK: Malina Bay Airport"
MMH,"- Mammoth Lakes, CA: Mammoth Lakes Airport"
MNZ,"- Manassas, VA: Manassas Regional/Harry P. Davis Field"
MHT,"- Manchester, NH: Manchester-Boston Regional"
MHK,"- Manhattan/Ft. Riley, KS: Manhattan Regional"
MBL,"- Manistee/Ludington, MI: Manistee County-Blacker"
MKT,"- Mankato, MN: Mankato Regional"
MLY,"- Manley Hot Springs, AK: Manley Hot Springs Airport"
KMO,"- Manokotak, AK: Manokatak Seaplane Base"
QMN,"- Mansfield, MA: Mansfield Municipal"
MZJ,"- Marana, AZ: Pinal Airpark"
MTH,"- Marathon, FL: The Florida Keys Marathon International"
MYH,"- Marble Canyon, AZ: Cliff Dwellers"
MWA,"- Marion/Herrin, IL: Veterans Airport of Southern Illinois"
MQT,"- Marquette, MI: Sawyer International"
MLL,"- Marshall, AK: Marshall Don Hunter Sr."
MVY,"- Martha's Vineyard, MA: Martha's Vineyard Airport"
MCW,"- Mason City, IA: Mason City Municipal"
MSS,"- Massena, NY: Massena International-Richards Field"
MYK,"- May Creek, AK: May Creek Airport"
MAZ,"- Mayaguez, PR: Eugenio Maria de Hostos"
MYL,"- McCall, ID: McCall Municipal"
MXY,"- McCarthy, AK: McCarthy Airport"
MCK,"- McCook, NE: McCook Ben Nelson Regional"
OQA,"- McDonald Lake, AK: McDonald Lake Airport"
MCG,"- McGrath, AK: McGrath Airport"
MCL,"- McKinley Park, AK: Denali"
MFR,"- Medford, OR: Rogue Valley International - Medford"
MDR,"- Medfra, AK: Medfra Airport"
MYU,"- Mekoryuk, AK: Mekoryuk Airport"
MLB,"- Melbourne, FL: Melbourne International"
OQL,"- Mels, AK: Mels Airport"
MEM,"- Memphis, TN: Memphis International"
XXX,"- Mena, AR: Mena Intermountain Municipal"
MCE,"- Merced, CA: Merced Regional/Macready Field"
MEI,"- Meridian, MS: Key Field"
OQM,"- Meshik, AK: Meshik Airport"
MFH,"- Mesquite, NV: Mesquite Airport"
MTM,"- Metlakatla, AK: Metlakatala"
WMK,"- Meyers Chuck, AK: Meyers Chuck Seaplane Base"
MPB,"- Miami, FL: Watson Island International"
6B0,"- Middlebury, VT: Middlebury State"
MDO,"- Middleton Island, AK: Middleton Island Airport"
MAF,"- Midland/Odessa, TX: Midland International Air and Space Port"
MDY,"- Midway Island, TT: Sand Island Field"
MLS,"- Miles City, MT: Frank Wiley Field"
NQA,"- Millington, TN: Millington Memphis"
MKE,"- Milwaukee, WI: General Mitchell International"
MHM,"- Minchumina, AK: Minchumina Airport"
MWL,"- Mineral Wells, TX: Mineral Wells Regional"
FCM,"- Minneapolis, MN: Flying Cloud"
STP,"- Minneapolis/St. Paul, MN: St. Paul Downtown Holman Field"
MIB,"- Minot, ND: Minot AFB"
MOT,"- Minot, ND: Minot International"
MNT,"- Minto, AK: Minto Al Wright"
MFE,"- Mission/McAllen/Edinburg, TX: McAllen Miller International"
MSO,"- Missoula, MT: Missoula International"
CNY,"- Moab, UT: Canyonlands Field"
BFM,"- Mobile, AL: Mobile Downtown"
MOB,"- Mobile, AL: Mobile Regional"
MOD,"- Modesto, CA: Modesto City-County-Harry Sham Field"
VZG,"- Moffet Bay, AK: Moffet Bay Airport"
MLI,"- Moline, IL: Quad City International"
MLU,"- Monroe, LA: Monroe Regional"
CO1,"- Monte Vista, CO: Monte Vista Municipal"
MRY,"- Monterey, CA: Monterey Regional"
MGM,"- Montgomery, AL: Montgomery Regional"
MTJ,"- Montrose/Delta, CO: Montrose Regional"
UXR,"- Monument Valley, UT: Monument Valley Airport"
MGW,"- Morgantown, WV: Morgantown Municipal-Walter L. Bill Hart Field"
MMU,"- Morristown, NJ: Morristown Municipal"
MVL,"- Morrisville, VT: Morrisville Stowe State"
KMY,"- Moser Bay, AK: Moser Bay Airport"
MWH,"- Moses Lake, WA: Grant County International"
MOS,"- Moses Point, AK: Moses Point Airport"
CWA,"- Mosinee, WI: Central Wisconsin"
MUO,"- Mountain Home, ID: Mountain Home AFB"
NUQ,"- Mountain View, CA: Moffett Federal Airfield"
MOU,"- Mountain Village, AK: Mountain Village Airport"
A13,"- Mountaintop Mine, AK: Mountaintop Mine Airport"
MSL,"- Muscle Shoals, AL: Northwest Alabama Regional"
VZC,"- Mush Bay, AK: Mush Bay Airport"
MKG,"- Muskegon, MI: Muskegon County"
MYR,"- Myrtle Beach, SC: Myrtle Beach International"
NNK,"- Naknek, AK: Naknek Airport"
WQR,"- Naknek, AK: Tibbetts"
AA2,"- Naknek-1, AK: Icicle Seafoods"
ACK,"- Nantucket, MA: Nantucket Memorial"
KEB,"- Nanwalek, AK: Nanwalek Airport"
APC,"- Napa, CA: Napa County"
WNA,"- Napakiak, AK: Napakiak Airport"
KPM,"- Napamute, AK: Napamute Airport"
PKA,"- Napaskiak, AK: Napaskiak Airport"
APF,"- Naples, FL: Naples Municipal"
BNA,"- Nashville, TN: Nashville International"
NKI,"- Naukiti, AK: Naukiti Airport"
NLG,"- Nelson Lagoon, AK: Nelson Lagoon Airport"
ENN,"- Nenana, AK: Nenana Municipal"
EWB,"- New Bedford/Fall River, MA: New Bedford Regional"
EWN,"- New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional"
HVN,"- New Haven, CT: Tweed New Haven"
ARA,"- New Iberia, LA: Acadiana Regional"
GON,"- New London/Groton, CT: Groton-New London"
NEW,"- New Orleans, LA: Lakefront"
MSY,"- New Orleans, LA: Louis Armstrong New Orleans International"
DQN,"- New Smyrna Beach, FL: New Smyrna Beach Municipal"
KNW,"- New Stuyahok, AK: New Stuyahok Airport"
JRB,"- New York, NY: Downtown Manhattan/Wall Street Heliport"
TSS,"- New York, NY: East 34th Street Heliport"
NYC,"- New York, NY: New York City Metropolitan Area"
SWF,"- Newburgh/Poughkeepsie, NY: New York Stewart International"
LFI,"- Newport News/Hampton, VA: Langley AFB"
PHF,"- Newport News/Williamsburg, VA: Newport News/Williamsburg International"
ONP,"- Newport, OR: Newport Municipal"
NPT,"- Newport, RI: Newport State"
WWT,"- Newtok, AK: Newtok Airport"
EWK,"- Newton, KS: Newton City County"
IAG,"- Niagara Falls, NY: Niagara Falls International"
NME,"- Nightmute, AK: Nightmute Airport"
NIB,"- Nikolai, AK: Nikolai Airport"
IKO,"- Nikolski, AK: Nikolski AS"
NIN,"- Ninilchik, AK: Ninilchik Airport"
RQI,"- Nixon Fork Mine, AK: Nixon Fork Mine Airport"
WTK,"- Noatak, AK: Noatak Airport"
OME,"- Nome, AK: Nome Airport"
NNL,"- Nondalton, AK: Nondalton Airport"
ORV,"- Noorvik, AK: Robert/Bob/Curtis Memorial"
OFK,"- Norfolk, NE: Norfolk Regional/Karl Stefan Memorial Field"
ORF,"- Norfolk, VA: Norfolk International"
NGU,"- Norfolk, VA: Norfolk NS"
OTH,"- North Bend/Coos Bay, OR: Southwest Oregon Regional"
LBF,"- North Platte, NE: North Platte Regional Airport Lee Bird Field"
MA5,"- Northampton, MA: Northampton Airport"
OHC,"- Northeast Cape, AK: Northeast Cape AFS"
ORT,"- Northway, AK: Northway Airport"
OWD,"- Norwood, MA: Norwood Memorial"
NUI,"- Nuiqsut, AK: Nuiqsut Airport"
NUL,"- Nulato, AK: Nulato Airport"
NUP,"- Nunapitchuk, AK: Nunapitchuk Airport"
ZNC,"- Nyac, AK: Nyac Airport"
ODW,"- Oak Harbor, WA: A.J. Eisenberg"
OAK,"- Oakland, CA: Metropolitan Oakland International"
OCF,"- Ocala, FL: Ocala International-Jim Taylor Field"
OFU,"- Ofu, TT: Ofu Airport"
HIF,"- Ogden, UT: Hill AFB"
OGD,"- Ogden, UT: Ogden-Hinckley"
OGS,"- Ogdensburg, NY: Ogdensburg International"
OKC,"- Oklahoma City, OK: Will Rogers World"
OJC,"- Olathe, KS: Johnson County Executive"
JCI,"- Olathe, KS: New Century Aircenter"
OLH,"- Old Harbor, AK: Old Harbor Airport"
KOY,"- Olga Bay, AK: Olga Bay Seaplane Base"
XWS,"- Oliktok, AK: Oliktok LRRS"
OLV,"- Olive Branch, MS: Olive Branch Airport"
OLM,"- Olympia, WA: Olympia Regional"
OMA,"- Omaha, NE: Eppley Airfield"
ONN,"- Onion Bay, AK: Onion Bay Airport"
ONT,"- Ontario, CA: Ontario International"
OPH,"- Ophir, AK: Ophir Airport"
ORL,"- Orlando, FL: Executive"
ISM,"- Orlando, FL: Kissimmee Gateway"
OSH,"- Oshkosh, WI: Wittman Regional"
KOZ,"- Ouzinkie, AK: Ouzinkie Airport"
OWB,"- Owensboro, KY: Owensboro Daviess County Regional"
UOX,"- Oxford, MS: University-Oxford"
OXR,"- Oxnard/Ventura, CA: Oxnard"
PBK,"- Pack Creek, AK: Pack Creek Airport"
PAH,"- Paducah, KY: Barkley Regional"
PGA,"- Page, AZ: Page Municipal"
PPG,"- Pago Pago, TT: Pago Pago International"
PCE,"- Painter Creek, AK: Painter Creek Airport"
PSP,"- Palm Springs, CA: Palm Springs International"
PMD,"- Palmdale, CA: Palmdale USAF Plant 42"
PAQ,"- Palmer, AK: Warren Bud Woods Palmer Municipal"
PFN,"- Panama City, FL: Bay County"
ECP,"- Panama City, FL: Northwest Florida Beaches International"
PAM,"- Panama City, FL: Tyndall AFB"
PKD,"- Park Rapids, MN: Park Rapids Municipal-Konshok Field"
PKB,"- Parkersburg, WV: Mid-Ohio Valley Regional"
PSC,"- Pasco/Kennewick/Richland, WA: Tri Cities"
PRB,"- Paso Robles, CA: Paso Robles Municipal"
DQR,"- Peach Springs, AZ: Grand Canyon West"
1G4,"- Peach Springs, AZ: Grand Canyon West"
DQW,"- Peach Springs, AZ: Hualapai"
WQJ,"- Peard Bay, AK: Peard Bay Airport"
PDB,"- Pedro Bay, AK: Pedro Bay Airport"
PEC,"- Pelican, AK: Pelican Seaplane Base"
PLN,"- Pellston, MI: Pellston Regional Airport of Emmet County"
PDT,"- Pendleton, OR: Eastern Oregon Regional at Pendleton"
PNS,"- Pensacola, FL: Pensacola International"
NPA,"- Pensacola, FL: Pensacola NAS"
PIA,"- Peoria, IL: General Downing - Peoria International"
KPV,"- Perryville, AK: Perryville Airport"
VYS,"- Peru, IL: Illinois Valley Regional"
GUS,"- Peru, IN: Grissom ARB"
PSG,"- Petersburg, AK: Petersburg James A Johnson"
PNF,"- Peterson's Point, AK: Peterson's Point Airport"
PNE,"- Philadelphia, PA: Northeast Philadelphia"
LUF,"- Phoenix, AZ: Luke AFB"
DVT,"- Phoenix, AZ: Phoenix - Deer Valley"
AZA,"- Phoenix, AZ: Phoenix - Mesa Gateway"
SCF,"- Phoenix, AZ: Scottsdale"
PIR,"- Pierre, SD: Pierre Regional"
PIP,"- Pilot Point, AK: Pilot Point Airport"
UGB,"- Pilot Point, AK: Ugashik Bay"
PQS,"- Pilot Station, AK: Pilot Station Airport"
SOP,"- Pinehurst/Southern Pines, NC: Moore County"
AGC,"- Pittsburgh, PA: Allegheny County"
PIT,"- Pittsburgh, PA: Pittsburgh International"
PSF,"- Pittsfield, MA: Pittsfield Municipal"
PTU,"- Platinum, AK: Platinum Airport"
PLB,"- Plattsburgh, NY: Clinton County"
PBG,"- Plattsburgh, NY: Plattsburgh International"
PTR,"- Pleasant Harbour, AK: Pleasant Harbour Airport"
PIH,"- Pocatello, ID: Pocatello Regional"
A27,"- Pogo Mines, AK: Pogo Mines Airport"
KPB,"- Point Baker, AK: Point Baker Airport"
PHO,"- Point Hope, AK: Point Hope Airport"
PIZ,"- Point Lay, AK: Point Lay LRRS"
POQ,"- Polk Inlet, AK: Polk Inlet Airport"
PNC,"- Ponca City, OK: Ponca City Regional"
PSE,"- Ponce, PR: Mercedita"
PTK,"- Pontiac, MI: Oakland County International"
PVY,"- Pope Vanoy, AK: Pope Vanoy Airport"
PTD,"- Port Alexander, AK: Port Alexander Airport"
PTC,"- Port Alice, AK: Port Alice Airport"
PTA,"- Port Alsworth, AK: Port Alsworth Airport"
CLM,"- Port Angeles, WA: William R. Fairchild International"
PTL,"- Port Armstrong, AK: Port Armstrong Airport"
KPY,"- Port Bailey, AK: Port Bailey Airport"
KPC,"- Port Clarence, AK: Port Clarence CGS"
PGM,"- Port Graham, AK: Port Graham Airport"
PTH,"- Port Heiden, AK: Port Heiden Airport"
A48,"- Port Hobron, AK: Port Hobron Airport"
ORI,"- Port Lions, AK: Port Lions Airport"
PML,"- Port Moller, AK: Port Moller Airport"
PPV,"- Port Protection, AK: Port Protection Airport"
TWD,"- Port Townsend, WA: Jefferson County International"
A17,"- Port Vita, AK: Port Vita Airport"
KPR,"- Port Williams, AK: Port Williams Airport"
PCA,"- Portage Creek, AK: Portage Creek Airport"
WQU,"- Portales, NM: Portales Municipal"
PTV,"- Porterville, CA: Porterville Municipal"
PWM,"- Portland, ME: Portland International Jetport"
PSM,"- Portsmouth, NH: Portsmouth International at Pease"
PRC,"- Prescott, AZ: Prescott Regional Ernest A Love Field"
PQI,"- Presque Isle/Houlton, ME: Presque Isle International"
PUC,"- Price, UT: Carbon County Regional/Buck Davis Field"
PCT,"- Princeton, NJ: Princeton Airport"
BLF,"- Princeton/Bluefield, WV: Mercer County"
PPC,"- Prospect Creek, AK: Prospect Creek Airport"
PVD,"- Providence, RI: Theodore Francis Green State"
PVC,"- Provincetown, MA: Provincetown Municipal"
PVU,"- Provo, UT: Provo Municipal"
PUO,"- Prudhoe Bay, AK: Prudhoe Bay Airport"
A39,"- Ptarmigan Lake, AK: Ptarmigan Lake Airport"
PUB,"- Pueblo, CO: Pueblo Memorial"
PUW,"- Pullman, WA: Pullman Moscow Regional"
OQP,"- Pumice, AK: Pumice Airport"
PGD,"- Punta Gorda, FL: Punta Gorda Airport"
AK5,"- Qugruc, AK: Qugruc Airport"
UIN,"- Quincy, IL: Quincy Regional-Baldwin Field"
KWN,"- Quinhagak, AK: Quinhagak Airport"
RDU,"- Raleigh/Durham, NC: Raleigh-Durham International"
RMP,"- Rampart, AK: Rampart Airport"
RCA,"- Rapid City, SD: Ellsworth AFB"
RAP,"- Rapid City, SD: Rapid City Regional"
RSP,"- Raspberry Strait, AK: Raspberry Straits"
RDG,"- Reading, PA: Reading Regional/Carl A Spaatz Field"
RDV,"- Red Devil, AK: Red Devil Airport"
RDB,"- Red Dog, AK: Red Dog Airport"
A76,"- Red Fox Bay, AK: Red Fox Bay Airport"
A04,"- Red Lake, AK: Red Lake Airport"
RDR,"- Red River, ND: Grand Forks AFB"
RDD,"- Redding, CA: Redding Municipal"
RNO,"- Reno, NV: Reno/Tahoe International"
RNT,"- Renton, WA: Renton Municipal"
RHI,"- Rhinelander, WI: Rhinelander/Oneida County"
RIC,"- Richmond, VA: Richmond International"
RIL,"- Rifle, CO: Rifle Garfield County"
RIV,"- Riverside, CA: March ARB"
RIW,"- Riverton/Lander, WY: Riverton Regional"
ROA,"- Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field"
RCE,"- Roche Harbor, WA: Roche Harbor Airport"
RST,"- Rochester, MN: Rochester International"
ROC,"- Rochester, NY: Greater Rochester International"
RKS,"- Rock Springs, WY: Southwest Wyoming Regional"
RFD,"- Rockford, IL: Chicago/Rockford International"
RKD,"- Rockland, ME: Knox County Regional"
RWI,"- Rocky Mount, NC: Rocky Mount-Wilson Regional"
ROG,"- Rogers, AR: Rogers Executive Carter Field"
FAL,"- Roma, TX: Falcon State Park"
RMG,"- Rome, GA: Richard B Russell Regional J H Towers Field"
RME,"- Rome, NY: Griffiss International"
ROL,"- Roosevelt, UT: Roosevelt Municipal"
RSJ,"- Rosario, WA: Rosario Seaplane Base"
ROW,"- Roswell, NM: Roswell International Air Center"
ROP,"- Rota, TT: Benjamin Taisacan Manglona International"
RBY,"- Ruby, AK: Ruby Airport"
RUI,"- Ruidoso, NM: Sierra Blanca Regional"
RSH,"- Russian Mission, AK: Russian Mission Airport"
RSN,"- Ruston, LA: Ruston Regional"
RUT,"- Rutland, VT: Rutland - Southern Vermont Regional"
MCC,"- Sacramento, CA: McClellan Airfield"
SAC,"- Sacramento, CA: Sacramento Executive"
SMF,"- Sacramento, CA: Sacramento International"
SAD,"- Safford, AZ: Safford Regional"
MBS,"- Saginaw/Bay City/Midland, MI: MBS International"
SPN,"- Saipan, TT: Francisco C. Ada Saipan International"
SLE,"- Salem, OR: McNary Field"
SLT,"- Salida, CO: Salida Airport Harriett Alexander Field"
SLN,"- Salina, KS: Salina Regional"
SNS,"- Salinas/Monterey, CA: Salinas Municipal"
SBY,"- Salisbury, MD: Salisbury-Ocean City/Wicomico Regional"
SMN,"- Salmon, ID: Lemhi County"
ZXM,"- Saltery Cove, AK: Saltery Cove Airport"
SJT,"- San Angelo, TX: San Angelo Regional/Mathis Field"
SKF,"- San Antonio, TX: Kelly Field"
SAT,"- San Antonio, TX: San Antonio International"
SBD,"- San Bernardino, CA: San Bernardino International"
SQL,"- San Carlos, CA: San Carlos Airport"
NKX,"- San Diego, CA: Miramar MCAS"
MYF,"- San Diego, CA: Montgomery Gibbs Executive"
NZY,"- San Diego, CA: North Island NAS"
SJC,"- San Jose, CA: Norman Y. Mineta San Jose International"
WSJ,"- San Juan, AK: San Juan Airport"
SIG,"- San Juan, PR: Isla Grande"
SJU,"- San Juan, PR: Luis Munoz Marin International"
SBP,"- San Luis Obispo, CA: San Luis County Regional"
SDP,"- Sandpoint, AK: Sand Point"
KSR,"- Sandy River, AK: Federal No.1"
OQS,"- Sandy, AK: Sandy Airport"
SFB,"- Sanford, FL: Orlando Sanford International"
SNA,"- Santa Ana, CA: John Wayne Airport-Orange County"
SBA,"- Santa Barbara, CA: Santa Barbara Municipal"
SAF,"- Santa Fe, NM: Santa Fe Municipal"
SMX,"- Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field"
SMO,"- Santa Monica, CA: Santa Monica Municipal"
STS,"- Santa Rosa, CA: Charles M. Schulz - Sonoma County"
SQA,"- Santa Ynez, CA: Santa Ynez Airport"
SLK,"- Saranac Lake/Lake Placid, NY: Adirondack Regional"
SRQ,"- Sarasota/Bradenton, FL: Sarasota/Bradenton International"
CIU,"- Sault Ste. Marie, MI: Chippewa County International"
SVN,"- Savannah, GA: Hunter AAF"
SAV,"- Savannah, GA: Savannah/Hilton Head International"
SVA,"- Savoonga, AK: Savoonga Airport"
SCM,"- Scammon Bay, AK: Scammon Bay Airport"
BFF,"- Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field"
AVP,"- Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International"
SYB,"- Seal Bay, AK: Seal Bay Airport"
BFI,"- Seattle, WA: Boeing Field/King County International"
LKE,"- Seattle, WA: Lake Union Terminal"
SDX,"- Sedona, AZ: Sedona Airport"
A07,"- Selawik, AK: Roland Norton Memorial"
WLK,"- Selawik, AK: Selawik Airport"
SOV,"- Seldovia, AK: Seldovia Airport"
A31,"- Selief Bay, AK: Selief Bay Airport"
SEM,"- Selma, AL: Craig Field"
SQV,"- Sequim, WA: Sequim Valley"
SWD,"- Seward, AK: Seward Airport"
SHX,"- Shageluk, AK: Shageluk Airport"
SKK,"- Shaktoolik, AK: Shaktoolik Airport"
A90,"- Shannon Pond, AK: Shannon Pond Airport"
