Airport Code,Airport Description
KBE,"- Bell Island, AK: Bell Island Hot Springs Seaplane Base"
BLV,"- Belleville, IL: Scott AFB/MidAmerica"
BLI,"- Bellingham, WA: Bellingham International"
BLM,"- Belmar/Farmingdale, NJ: Monmouth Executive"
JVL,"- Beloit/Janesville, WI: Southern Wisconsin Regional"
BVU,"- Beluga, AK: Beluga Airport"
BJI,"- Bemidji, MN: Bemidji Regional"
RDM,"- Bend/Redmond, OR: Roberts Field"
BEH,"- Benton Harbor/St. Joseph, MI: Southwest Michigan Regional"
NJ1,"- Berlin, NJ: Camden County"
BET,"- Bethel, AK: Bethel Airport"
BTT,"- Bettles, AK: Bettles Airport"
BVY,"- Beverly, MA: Beverly Regional"
OQB,"- Bible Camp, AK: Bible Camp Airport"
A50,"- Big Bay, AK: Big Bay Airport"
BIC,"- Big Creek, AK: Big Creek Airport"
BIG,"- Big Delta, AK: Allen AAF"
BGQ,"- Big Lake, AK: Big Lake Airport"
BMX,"- Big Mountain, AK: Big Mountain AFS"
PWR,"- Big Port Walter, AK: Big and Little Port Walter"
A85,"- Big River, AK: Big River Airport"
BIL,"- Billings, MT: Billings Logan International"
BIX,"- Biloxi, MS: Keesler AFB"
BGM,"- Binghamton, NY: Greater Binghamton/Edwin A. Link Field"
KBC,"- Birch Creek, AK: Birch Creek Airport"
BHM,"- Birmingham, AL: Birmingham-Shuttlesworth International"
BIS,"- Bismarck/Mandan, ND: Bismarck Municipal"
BYW,"- Blakely Island, WA: Blakely Island Airport"
BID,"- Block Island, RI: Block Island State"
BMG,"- Bloomington, IN: Monroe County"
BMI,"- Bloomington/Normal, IL: Central Il Regional Airport at Bloomington"
BFB,"- Blue Fox Bay, AK: Blue Fox Bay Airport"
BYH,"- Blytheville, AR: Arkansas International"
BCT,"- Boca Raton, FL: Boca Raton Public"
BOI,"- Boise, ID: Boise Air Terminal"
RLU,"- Bornite/Ruby Creek, AK: Bornite Upper"
BXS,"- Borrego Springs, CA: Borrego Valley"
BLD,"- Boulder City, NV: Boulder City Municipal"
BYA,"- Boundary, AK: Boundary Airport"
BWG,"- Bowling Green, KY: Bowling Green-Warren County Regional"
BZN,"- Bozeman, MT: Bozeman Yellowstone International"
BFD,"- Bradford, PA: Bradford Regional"
A23,"- Bradley Lake, AK: Bradley Lake Airport"
BRD,"- Brainerd, MN: Brainerd Lakes Regional"
BKG,"- Branson, MO: Branson Airport"
BWC,"- Brawley, CA: Brawley Municipal"
PWT,"- Bremerton, WA: Bremerton National"
KTS,"- Brevig Mission, AK: Brevig Mission Airport"
BDR,"- Bridgeport, CT: Igor I Sikorsky Memorial"
TRI,"- Bristol/Johnson City/Kingsport, TN: Tri Cities"
BKX,"- Brookings, SD: Brookings Regional"
RBH,"- Brooks Lodge, AK: Brooks Lodge Airport"
BRO,"- Brownsville, TX: Brownsville South Padre Island International"
BWD,"- Brownwood, TX: Brownwood Regional"
BQK,"- Brunswick, GA: Brunswick Golden Isles"
BCE,"- Bryce Canyon, UT: Bryce Canyon Airport"
BKC,"- Buckland, AK: Buckland Airport"
BUF,"- Buffalo, NY: Buffalo Niagara International"
IFP,"- Bullhead City, AZ: Laughlin/Bullhead International"
BUR,"- Burbank, CA: Bob Hope"
BRL,"- Burlington, IA: Southeast Iowa Regional"
BTV,"- Burlington, VT: Burlington International"
MVW,"- Burlington/Mount Vernon, WA: Skagit Regional"
BNO,"- Burns, OR: Burns Municipal"
BTM,"- Butte, MT: Bert Mooney"
UXI,"- Calder Bay, AK: Calder Bay Airport"
CDW,"- Caldwell, NJ: Essex County"
C01,"- Camarillo, CA: Camarillo Airport"
ADW,"- Camp Springs, MD: Joint Base Andrews"
CDL,"- Candle, AK: Candle 2"
CGI,"- Cape Girardeau, MO: Cape Girardeau Regional"
LUR,"- Cape Lisburne, AK: Cape Lisburne LRRS"
EHM,"- Cape Newenham, AK: Cape Newenham LRRS"
CZF,"- Cape Romanzof, AK: Cape Romanzof LRRS"
A61,"- Cape Sarichef, AK: Cape Sarichef Airport"
A40,"- Cape Simpson, AK: Cape Simpson Airport"
CYT,"- Cape Yakataga, AK: Yakataga"
MDH,"- Carbondale, IL: Southern Illinois"
CLD,"- Carlsbad, CA: McClellan-Palomar"
CNM,"- Carlsbad, NM: Cavern City Air Terminal"
A87,"- Carry Inlet, AK: Carry Inlet Airport"
CPR,"- Casper, WY: Casper/Natrona County International"
CDC,"- Cedar City, UT: Cedar City Regional"
CID,"- Cedar Rapids/Iowa City, IA: The Eastern Iowa"
JRV,"- Ceiba, PR: Jose Aponte de la Torre"
